===========================================================================
接口列表
 11...........................Wintun Userspace Tunnel
 39...........................XyNetTunnel Tunnel
  7...04 d9 f5 1f 99 4a ......Realtek PCIe GbE Family Controller
 16...00 1a 7d da 71 11 ......Bluetooth Device (Personal Area Network)
  1...........................Software Loopback Interface 1
===========================================================================

IPv4 路由表
===========================================================================
活动路由:
网络目标        网络掩码          网关       接口   跃点数
       10.0.0.226  255.255.255.255            在链路上        10.0.0.226    281
         10.4.4.2  255.255.255.255            在链路上          10.4.4.2    261
   10.255.255.255  255.255.255.255            在链路上        10.0.0.226    281
         11.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         12.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
     13.33.171.20  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.33.171.35  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.33.171.44  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.33.171.228  255.255.255.255         10.4.4.1         10.4.4.2     10
      13.33.183.8  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.33.183.66  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.33.183.105  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.33.183.117  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.11  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.16  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.25  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.30  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.33  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.38  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.41  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.46  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.52  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.57  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.60  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.79  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.80  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.81  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.83  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.92  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.94  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.35.185.97  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.35.185.104  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.35.185.116  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.35.185.120  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.35.185.126  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.111.45.149  255.255.255.255         10.4.4.1         10.4.4.2     10
   13.217.178.229  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.219.12.115  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.223.253.71  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.67.38  255.255.255.255         10.4.4.1         10.4.4.2     10
      13.226.69.2  255.255.255.255         10.4.4.1         10.4.4.2     10
      13.226.69.6  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.10  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.18  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.26  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.41  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.73  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.77  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.80  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.81  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.83  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.89  255.255.255.255         10.4.4.1         10.4.4.2     10
     13.226.69.91  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.226.69.109  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.226.69.110  255.255.255.255         10.4.4.1         10.4.4.2     10
    13.248.213.89  255.255.255.255         10.4.4.1         10.4.4.2     10
         14.0.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
     14.22.20.210  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.22.20.211  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.22.20.212  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.22.20.213  255.255.255.255         10.4.4.1         10.4.4.2     10
      14.29.49.44  255.255.255.255         10.4.4.1         10.4.4.2     10
      14.29.49.45  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.29.51.120  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.29.72.184  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.29.72.186  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.29.72.187  255.255.255.255         10.4.4.1         10.4.4.2     10
    14.29.101.168  255.255.255.255         10.4.4.1         10.4.4.2     10
        14.32.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        14.64.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        14.96.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       14.100.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       14.102.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    14.116.174.67  255.255.255.255         10.4.4.1         10.4.4.2     10
   14.116.243.176  255.255.255.255         10.0.0.1       10.0.0.226    300
      14.119.92.2  255.255.255.255         10.4.4.1         10.4.4.2     10
      14.119.92.6  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.119.92.50  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.119.92.51  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.119.92.54  255.255.255.255         10.4.4.1         10.4.4.2     10
     14.119.92.55  255.255.255.255         10.4.4.1         10.4.4.2     10
       14.128.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       14.132.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       14.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
    14.152.112.28  255.255.255.255         10.4.4.1         10.4.4.2     10
       14.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       14.192.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       14.198.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       14.200.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       14.206.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       14.224.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
         15.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
    15.197.149.64  255.255.255.255         10.4.4.1         10.4.4.2     10
         16.0.0.0        248.0.0.0         10.4.4.1         10.4.4.2     10
    16.15.179.168  255.255.255.255         10.4.4.1         10.4.4.2     10
    16.15.201.127  255.255.255.255         10.4.4.1         10.4.4.2     10
    16.15.217.137  255.255.255.255         10.4.4.1         10.4.4.2     10
    16.163.138.24  255.255.255.255         10.4.4.1         10.4.4.2     10
     16.182.73.49  255.255.255.255         10.4.4.1         10.4.4.2     10
   16.182.107.105  255.255.255.255         10.4.4.1         10.4.4.2     10
    17.253.85.201  255.255.255.255         10.4.4.1         10.4.4.2     10
    17.253.85.206  255.255.255.255         10.4.4.1         10.4.4.2     10
     18.172.170.2  255.255.255.255         10.4.4.1         10.4.4.2     10
    18.172.170.54  255.255.255.255         10.4.4.1         10.4.4.2     10
    18.172.170.91  255.255.255.255         10.4.4.1         10.4.4.2     10
    18.172.170.92  255.255.255.255         10.4.4.1         10.4.4.2     10
     18.210.41.96  255.255.255.255         10.4.4.1         10.4.4.2     10
    18.211.108.35  255.255.255.255         10.4.4.1         10.4.4.2     10
    18.235.225.88  255.255.255.255         10.4.4.1         10.4.4.2     10
       23.2.16.58  255.255.255.255         10.4.4.1         10.4.4.2     10
       23.2.16.96  255.255.255.255         10.4.4.1         10.4.4.2     10
      23.2.16.185  255.255.255.255         10.4.4.1         10.4.4.2     10
      23.2.16.217  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.7.218.187  255.255.255.255         10.4.4.1         10.4.4.2     10
      23.32.20.16  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.33.184.228  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.33.184.249  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.41.67.127  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.41.77.123  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.50.21.119  255.255.255.255         10.4.4.1         10.4.4.2     10
       23.50.24.8  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.195.109.134  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.195.110.117  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.200.148.171  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.202.34.18  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.202.34.56  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.202.34.66  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.202.35.73  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.202.35.227  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.202.35.240  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.202.35.241  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.206.203.205  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.206.203.211  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.206.203.232  255.255.255.255         10.4.4.1         10.4.4.2     10
   23.206.203.248  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.219.73.36  255.255.255.255         10.4.4.1         10.4.4.2     10
     23.219.73.99  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.219.172.51  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.219.172.56  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.134  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.141  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.142  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.157  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.165  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.170  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.194  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.195  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.203  255.255.255.255         10.4.4.1         10.4.4.2     10
    23.220.71.207  255.255.255.255         10.4.4.1         10.4.4.2     10
         24.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
         26.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         27.0.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        27.32.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        27.48.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        27.50.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        27.51.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        27.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        27.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        27.64.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        27.96.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        27.98.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        27.99.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       27.100.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       27.102.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       27.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       27.112.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       27.114.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     27.115.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       27.116.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       27.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       27.130.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       27.132.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       27.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       27.145.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       27.146.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       27.160.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       27.176.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       27.228.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       27.232.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       27.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
         28.0.0.0        252.0.0.0         10.4.4.1         10.4.4.2     10
         32.0.0.0        252.0.0.0         10.4.4.1         10.4.4.2     10
   34.102.245.185  255.255.255.255         10.4.4.1         10.4.4.2     10
     34.104.36.43  255.255.255.255         10.4.4.1         10.4.4.2     10
   34.194.108.148  255.255.255.255         10.4.4.1         10.4.4.2     10
   34.194.218.135  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.196.106.33  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.199.33.116  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.202.247.47  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.210.15.172  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.232.81.147  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.241.173.35  255.255.255.255         10.4.4.1         10.4.4.2     10
   34.241.184.147  255.255.255.255         10.4.4.1         10.4.4.2     10
    34.246.39.139  255.255.255.255         10.4.4.1         10.4.4.2     10
     34.253.54.98  255.255.255.255         10.4.4.1         10.4.4.2     10
       35.85.3.27  255.255.255.255         10.4.4.1         10.4.4.2     10
     35.86.22.138  255.255.255.255         10.4.4.1         10.4.4.2     10
    35.95.189.215  255.255.255.255         10.4.4.1         10.4.4.2     10
    35.160.118.25  255.255.255.255         10.4.4.1         10.4.4.2     10
    35.162.128.49  255.255.255.255         10.4.4.1         10.4.4.2     10
   35.162.155.232  255.255.255.255         10.4.4.1         10.4.4.2     10
   35.164.182.111  255.255.255.255         10.4.4.1         10.4.4.2     10
    35.166.95.128  255.255.255.255         10.4.4.1         10.4.4.2     10
   35.166.231.110  255.255.255.255         10.4.4.1         10.4.4.2     10
     35.169.6.148  255.255.255.255         10.4.4.1         10.4.4.2     10
    35.171.137.86  255.255.255.255         10.4.4.1         10.4.4.2     10
         36.2.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
         36.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        36.37.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        36.38.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        36.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        36.64.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
     36.150.28.82  255.255.255.255         10.4.4.1         10.4.4.2     10
       36.240.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       36.252.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       36.255.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         37.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         38.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         39.1.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         39.2.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
         39.4.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
         39.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        39.16.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        39.32.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       39.109.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       39.110.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       39.112.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       39.116.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       39.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       39.192.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
         40.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
    40.143.131.24  255.255.255.255         10.4.4.1         10.4.4.2     10
         42.0.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
         42.1.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
         42.2.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
         42.8.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        42.16.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        42.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        42.60.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      42.62.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        42.64.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        42.82.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        42.83.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        42.96.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        42.98.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       42.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       42.112.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       42.123.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       42.124.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       42.144.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       42.152.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       42.156.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       42.187.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       42.188.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       42.200.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     42.201.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       42.241.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         43.0.0.0      255.128.0.0         10.4.4.1         10.4.4.2     10
       43.128.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
    43.135.105.28  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.159.233.114  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.159.233.119  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.159.233.137  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.159.233.192  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.159.233.204  255.255.255.255         10.4.4.1         10.4.4.2     10
       43.192.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
    43.198.184.33  255.255.255.255         10.4.4.1         10.4.4.2     10
   43.199.136.124  255.255.255.255         10.4.4.1         10.4.4.2     10
       43.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       43.232.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      43.239.52.0    255.255.252.0         10.4.4.1         10.4.4.2     10
      43.239.56.0    255.255.248.0         10.4.4.1         10.4.4.2     10
      43.239.64.0    255.255.248.0         10.4.4.1         10.4.4.2     10
      43.239.96.0    255.255.240.0         10.4.4.1         10.4.4.2     10
     43.239.112.0    255.255.252.0         10.4.4.1         10.4.4.2     10
     43.239.124.0    255.255.252.0         10.4.4.1         10.4.4.2     10
     43.239.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       43.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
         44.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
     44.193.46.72  255.255.255.255         10.4.4.1         10.4.4.2     10
   44.194.199.215  255.255.255.255         10.4.4.1         10.4.4.2     10
   44.195.184.152  255.255.255.255         10.4.4.1         10.4.4.2     10
    44.197.254.81  255.255.255.255         10.4.4.1         10.4.4.2     10
       44.198.5.7  255.255.255.255         10.4.4.1         10.4.4.2     10
     44.198.21.90  255.255.255.255         10.4.4.1         10.4.4.2     10
    44.206.115.76  255.255.255.255         10.4.4.1         10.4.4.2     10
    44.208.159.79  255.255.255.255         10.4.4.1         10.4.4.2     10
    44.208.218.21  255.255.255.255         10.4.4.1         10.4.4.2     10
     44.221.231.9  255.255.255.255         10.4.4.1         10.4.4.2     10
   44.229.103.182  255.255.255.255         10.4.4.1         10.4.4.2     10
    44.230.97.216  255.255.255.255         10.4.4.1         10.4.4.2     10
   44.233.191.128  255.255.255.255         10.4.4.1         10.4.4.2     10
   44.238.197.220  255.255.255.255         10.4.4.1         10.4.4.2     10
         46.0.0.0        255.0.0.0         10.4.4.1         10.4.4.2     10
         47.0.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
